target,launched,destroyed
,1.0,1.0
,1.0,1.0
Dnipro,1.0,0.0
,1.0,1.0
,2.0,2.0
,2.0,2.0
,1.0,1.0
,2.0,2.0
,4.0,4.0
,3.0,3.0
,5.0,5.0
Kyiv oblast,6.0,1.0
Kryvyi Rih,1.0,0.0
,1.0,1.0
,4.0,4.0
,2.0,2.0
Zaporizhzhia oblast,2.0,2.0
,1.0,1.0
,1.0,1.0
,2.0,2.0
,5.0,5.0
,1.0,1.0
,3.0,3.0
,3.0,3.0
,2.0,2.0
,4.0,4.0
Kherson oblast,1.0,0.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
,2.0,2.0
,1.0,1.0
,5.0,5.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
,2.0,2.0
,3.0,3.0
Odesa oblast,1.0,0.0
,5.0,5.0
,1.0,1.0
,3.0,3.0
,1.0,1.0
,6.0,6.0
,1.0,1.0
,3.0,3.0
,3.0,3.0
,2.0,2.0
,1.0,1.0
,1.0,1.0
,2.0,2.0
,2.0,2.0
Kryvyi Rih,2.0,0.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
Kryvyi Rih,2.0,0.0
Odesa,1.0,0.0
,1.0,1.0
,2.0,2.0
,3.0,3.0
,1.0,1.0
,1.0,1.0
,5.0,5.0
,2.0,2.0
,2.0,2.0
Odesa oblast,1.0,0.0
,2.0,2.0
,2.0,2.0
Mykolaiv oblast,1.0,0.0
Kherson oblast,1.0,0.0
,4.0,4.0
,1.0,1.0
,2.0,2.0
,1.0,1.0
,1.0,1.0
,2.0,2.0
Odesa,1.0,0.0
,2.0,2.0
,1.0,1.0
,3.0,3.0
Odesa oblast,1.0,0.0
,1.0,1.0
,1.0,1.0
,2.0,2.0
,1.0,1.0
,4.0,4.0
,1.0,1.0
,3.0,3.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
,2.0,2.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
Odesa oblast,2.0,0.0
,1.0,1.0
,2.0,2.0
Kharkiv oblast,14.0,
,2.0,2.0
Sumy oblast,2.0,0.0
,1.0,1.0
,2.0,2.0
Mykolaiv oblast,2.0,0.0
Mykolaiv oblast,1.0,1.0
,2.0,2.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
,2.0,2.0
Odesa oblast,3.0,0.0
Odesa oblast,2.0,0.0
,2.0,2.0
,1.0,1.0
,2.0,2.0
,1.0,1.0
,1.0,1.0
Mykolaiv oblast,2.0,0.0
,2.0,2.0
,3.0,3.0
,1.0,1.0
Odesa oblast,1.0,0.0
Kyiv,5.0,5.0
,1.0,1.0
Mykolaiv oblast,1.0,0.0
,1.0,1.0
,1.0,1.0
Kryvyi Rih,1.0,1.0
Poltava oblast,19.0,
,3.0,3.0
,2.0,2.0
,1.0,1.0
,2.0,2.0
,1.0,1.0
Odesa oblast,3.0,0.0
,3.0,3.0
,2.0,2.0
,1.0,1.0
,2.0,2.0
,4.0,4.0
,1.0,1.0
,1.0,1.0
Odesa oblast,1.0,0.0
,1.0,1.0
,1.0,1.0
,2.0,2.0
,5.0,5.0
,3.0,3.0
,5.0,5.0
,1.0,1.0
Odesa,1.0,1.0
Odesa,3.0,0.0
,1.0,1.0
Odeas oblast,1.0,1.0
Mykolaiv oblast,1.0,0.0
Odesa oblast,2.0,2.0
Zaporizhzhia,4.0,0.0
