time_start,target,launched,destroyed
2025-06-15 02:10:00,Poltava oblast,4.0,3.0
2025-06-15 02:10:00,Poltava oblast,1.0,0.0
2025-06-15 02:10:00,Poltava oblast,4.0,3.0
2025-06-15 02:10:00,Poltava oblast,2.0,2.0
2025-06-14 06:00:00,,2.0,2.0
2025-06-12 06:00:00,,3.0,0.0
2025-06-11 06:00:00,,9.0,9.0
2025-06-11 06:00:00,,2.0,2.0
2025-06-10 06:00:00,,1.0,1.0
2025-06-09 06:00:00,,2.0,2.0
2025-06-09 06:00:00,,1.0,1.0
2025-06-07 21:00:00,Mykolaiv oblast,2.0,0.0
2025-06-07 21:00:00,Odesa oblast,1.0,0.0
2025-06-07 06:00:00,,3.0,3.0
2025-06-07 06:00:00,,1.0,1.0
2025-06-05 20:00:00,Odesa oblast,1.0,0.0
2025-06-06 06:00:00,,3.0,3.0
2025-06-06 06:00:00,,2.0,2.0
2025-06-05 06:00:00,,2.0,2.0
2025-06-04 06:00:00,,3.0,3.0
2025-06-04 06:00:00,,9.0,9.0
2025-06-03 06:00:00,Mykolaiv oblast,1.0,0.0
2025-06-03 06:00:00,,3.0,3.0
2025-06-03 06:00:00,,3.0,3.0
2025-06-02 06:00:00,,4.0,4.0
2025-06-02 06:00:00,,2.0,2.0
2025-06-01 06:00:00,,1.0,1.0
2025-06-01 06:00:00,,1.0,1.0
2025-05-30 06:00:00,,6.0,6.0
2025-05-29 06:00:00,,5.0,5.0
2025-05-29 06:00:00,,2.0,2.0
2025-05-29 06:00:00,,1.0,1.0
2025-05-29 06:00:00,Mykolaiv oblast,1.0,0.0
2025-05-28 06:00:00,,1.0,1.0
2025-05-28 06:00:00,,2.0,2.0
2025-05-27 06:00:00,,3.0,3.0
2025-05-27 06:00:00,,1.0,1.0
2025-05-27 06:00:00,,2.0,2.0
2025-05-25 06:00:00,,1.0,1.0
2025-05-23 06:00:00,,1.0,1.0
2025-05-23 06:00:00,,2.0,2.0
2025-05-23 06:00:00,,1.0,1.0
2025-05-23 06:00:00,,2.0,2.0
2025-05-22 06:00:00,,7.0,7.0
2025-05-22 06:00:00,,5.0,5.0
2025-05-21 06:00:00,,2.0,2.0
2025-05-21 06:00:00,,3.0,3.0
2025-05-21 06:00:00,,5.0,5.0
2025-05-21 06:00:00,,1.0,1.0
2025-05-21 06:00:00,,5.0,5.0
2025-05-20 06:00:00,,5.0,5.0
2025-05-19 06:00:00,,3.0,3.0
2025-05-19 06:00:00,,2.0,2.0
2025-05-18 06:00:00,,4.0,4.0
2025-05-16 06:00:00,,7.0,7.0
2025-05-16 06:00:00,,2.0,2.0
2025-05-15 06:00:00,,1.0,1.0
2025-05-15 06:00:00,,2.0,2.0
2025-05-13 19:30:00,Odesa oblast,1.0,0.0
2025-05-14 06:00:00,,8.0,8.0
2025-05-13 06:00:00,,5.0,5.0
2025-05-13 06:00:00,,5.0,5.0
2025-05-12 06:00:00,,3.0,3.0
