iter	RMSE
0	5.448242895
1	5.414646148
2	5.393221702
3	5.356064871
4	5.331573392
5	5.297152217
6	5.266343449
7	5.22466041
8	5.198455913
9	5.159680488
10	5.130907266
11	5.109729293
12	5.087148536
13	5.067125071
14	5.03761201
15	5.013409784
16	4.983876791
17	4.959656566
18	4.943897811
19	4.904307624
20	4.871356563
21	4.822310465
22	4.79196246
23	4.754451433
24	4.724751972
25	4.695809982
26	4.667428389
27	4.659091267
28	4.633786364
29	4.613859593
30	4.603853822
31	4.569923966
32	4.554830946
33	4.544794644
34	4.525667825
35	4.503417529
36	4.491320941
37	4.431925259
38	4.410359452
39	4.396219356
40	4.345231188
41	4.335778807
42	4.301871434
43	4.271011004
44	4.261897919
45	4.258696855
46	4.22439547
47	4.215727991
48	4.198141944
49	4.184378
50	4.170932705
51	4.162533054
52	4.151105553
53	4.137422173
54	4.132784042
55	4.127032961
56	4.096514045
57	4.08884555
58	4.082667944
59	4.058294015
60	4.05446424
61	4.034108123
62	4.008498078
63	4.003771306
64	3.980535911
65	3.978416972
66	3.962040043
67	3.959222499
68	3.958002664
69	3.952870976
70	3.94286587
71	3.939409882
72	3.891794018
73	3.888148748
74	3.882846336
75	3.872160102
76	3.856238892
77	3.84312436
78	3.81941256
79	3.816171293
80	3.811344589
81	3.787522214
82	3.770175556
83	3.762713759
84	3.743086566
85	3.727833117
86	3.698827212
87	3.679235518
88	3.658763196
89	3.656260748
90	3.634846581
91	3.626754378
92	3.625370094
93	3.6099861
94	3.597400449
95	3.570018022
96	3.543495948
97	3.539463614
98	3.530617449
99	3.521811556
100	3.515028897
101	3.497902284
102	3.488024693
103	3.481278289
104	3.469699404
105	3.454639401
106	3.449771878
107	3.441588373
108	3.416421582
109	3.41386088
110	3.407264471
111	3.396644733
112	3.393326839
113	3.350426163
114	3.341851058
115	3.313221813
116	3.306667429
117	3.289273433
118	3.285135037
119	3.268059292
120	3.26415971
121	3.25054363
122	3.242798628
123	3.235833397
124	3.223807735
125	3.206396155
126	3.179691199
127	3.173217562
128	3.135935413
129	3.125847756
130	3.119650365
131	3.094199379
132	3.092096229
133	3.085337351
134	3.074044617
135	3.063137142
136	3.059711568
137	3.05175471
138	3.049325629
139	3.044432482
140	3.026495643
141	3.018966034
142	3.00550216
143	3.001952178
144	2.995004875
145	2.988666153
146	2.979170263
147	2.972239667
148	2.963416579
149	2.961960593
150	2.955965686
151	2.94669504
152	2.940059805
153	2.925635492
154	2.917826672
155	2.910812783
156	2.887323831
157	2.883545614
158	2.881017658
159	2.873671676
160	2.871066338
161	2.867110484
162	2.84793222
163	2.846332655
164	2.843781217
165	2.838144818
166	2.815047064
167	2.809814734
168	2.794262253
169	2.793385221
170	2.787307752
171	2.774491591
172	2.744473746
173	2.732521416
174	2.726320443
175	2.718503089
176	2.69975318
177	2.696938483
178	2.691089492
179	2.662592108
180	2.656803005
181	2.653727225
182	2.627170736
183	2.615744588
184	2.607108202
185	2.602897178
186	2.601502345
187	2.599789657
188	2.595186527
189	2.593628602
190	2.58571068
191	2.568505945
192	2.543238905
193	2.536105203
194	2.530811238
195	2.517298787
196	2.514988307
197	2.510938018
198	2.504230966
199	2.500194623
200	2.495176832
201	2.483859308
202	2.48144895
203	2.475503668
204	2.466756755
205	2.464968753
206	2.446182062
207	2.436699991
208	2.432087661
209	2.407810836
210	2.40164021
211	2.385559185
212	2.367973592
213	2.363586483
214	2.361191196
215	2.356039607
216	2.335761524
217	2.329982406
218	2.305769174
219	2.303567617
220	2.301749267
221	2.300289114
222	2.278563753
223	2.257362342
224	2.255808863
225	2.248350263
226	2.228185921
227	2.217115058
228	2.212564696
229	2.203544587
230	2.200824042
231	2.181566381
232	2.177160561
