iter	Passed	Remaining
0	2	683
1	5	618
2	7	597
3	9	564
4	12	549
5	14	544
6	16	534
7	18	529
8	21	529
9	23	523
10	25	517
11	27	513
12	30	509
13	32	505
14	34	499
15	36	497
16	38	492
17	41	490
18	43	485
19	45	482
20	47	478
21	49	477
22	52	475
23	54	473
24	56	470
25	58	467
26	61	466
27	63	463
28	65	462
29	67	460
30	70	458
31	72	456
32	74	452
33	77	451
34	79	447
35	81	445
36	83	443
37	85	440
38	88	438
39	90	435
40	92	432
41	94	430
42	97	428
43	99	425
44	101	423
45	103	420
46	105	417
47	107	415
48	109	412
49	112	409
50	114	407
51	116	404
52	118	403
53	120	400
54	123	398
55	125	396
56	127	394
57	130	392
58	132	390
59	135	389
60	137	387
61	139	385
62	141	382
63	144	380
64	146	378
65	148	375
66	150	373
67	152	370
68	155	368
69	157	365
70	159	363
71	161	361
72	163	359
73	165	356
74	168	353
75	170	352
76	172	349
77	174	347
78	177	345
79	179	343
80	181	341
81	183	338
82	186	336
83	189	335
84	191	333
85	193	331
86	196	329
87	198	327
88	201	325
89	201	320
90	203	318
91	206	315
92	208	313
93	210	311
94	213	309
95	215	307
96	217	305
97	220	303
98	222	300
99	224	298
100	226	296
101	229	294
102	231	292
103	233	290
104	236	288
105	238	285
106	241	283
107	243	281
108	244	278
109	247	276
110	249	274
111	251	272
112	254	269
113	256	267
114	258	265
115	261	263
116	263	261
117	266	259
118	268	257
119	270	254
120	272	252
121	275	250
122	277	248
123	280	246
124	282	243
125	284	241
126	287	239
127	289	237
128	291	235
129	293	232
130	296	230
131	298	228
132	301	226
133	303	224
134	305	221
135	308	219
136	310	217
137	312	215
138	314	212
139	317	210
140	319	208
141	321	205
142	323	203
143	326	201
144	328	199
145	330	196
146	332	194
147	335	192
148	337	190
149	339	187
150	341	185
151	343	183
152	346	180
153	348	178
154	350	176
155	352	174
156	355	171
157	357	169
158	359	167
159	362	165
160	364	163
161	366	160
162	369	158
163	371	156
164	373	153
165	375	151
166	378	149
167	380	147
168	382	144
169	384	142
170	386	140
171	389	137
172	391	135
173	394	133
174	396	131
175	399	129
176	401	127
177	404	124
178	406	122
179	408	120
180	410	118
181	413	115
182	415	113
183	417	111
184	419	108
185	421	106
186	424	104
187	426	102
188	428	99
189	431	97
190	433	95
191	435	92
192	437	90
193	439	88
194	442	86
195	444	83
196	446	81
197	448	79
198	451	77
199	453	74
200	456	72
201	458	70
202	460	68
203	462	65
204	465	63
205	467	61
206	469	58
207	471	56
208	473	54
209	476	52
210	478	49
211	480	47
212	483	45
213	485	43
214	487	40
215	490	38
216	492	36
217	494	34
218	496	31
219	499	29
220	501	27
221	503	24
222	506	22
223	508	20
224	510	18
225	512	15
226	514	13
227	516	11
228	519	9
229	522	6
230	524	4
231	527	2
232	529	0
